msgid 10000000
nhost 2560
47 8  3350 39587 0  3865 76303 0  10579 81828 0  12801 65184 0  14624 157541 0  15343 139887 0  18707 106375 0  19692 15617 0
48 8  2603 38920 0  3685 76151 0  9457 135380 0  12275 155784 0  14740 139432 0  18144 14194 0  18582 124228 0  22019 108915 0
49 8  2351 38776 0  2582 148011 0  3487 75967 0  9885 62708 0  11968 137337 0  14985 11690 0  15482 48871 0  22734 18104 0
50 8  3401 148552 0  4477 76738 0  5285 41161 0  9826 135644 0  12431 46563 0  12614 101482 0  20950 144320 0  21717 17127 0
51 8  12 54925 0  4792 76960 0  6059 41720 0  8150 97971 0  11811 64412 0  14015 47808 0  15955 140276 0  18068 105920 0
52 8  990 874 0  4882 77036 0  6194 41771 0  14546 48127 0  15559 140047 0  19856 52124 0  20686 89666 0  20741 107943 0
53 8  5462 150190 0  5872 77922 0  7194 60616 0  11094 118550 0  12885 119998 0  15077 48538 0  15415 139934 0  21929 108830 0
54 8  3977 149046 0  5206 77319 0  7004 42431 0  9599 99149 0  15334 139884 0  17750 50634 0  18499 87866 0  21974 17353 0
55 8  6061 78092 0  12208 83061 0  13941 10803 0  14497 139286 0  14990 103286 0  15689 49099 0  18618 124265 0  21576 72049 0
56 8  1172 37848 0  8717 98432 0  13694 102257 0  13831 138772 0  18572 106295 0  19308 70261 0  20632 89627 0  22773 145834 0
57 8  3740 94682 0  9264 62274 0  11244 63920 0  11374 136901 0  11975 100955 0  18543 69725 0  22445 145616 0  22728 54758 0
58 8  323 146149 0  6404 96684 0  10454 99720 0  18399 69650 0  19028 51592 0  20954 53081 0  21131 162667 0  21319 144667 0
59 8  7126 133486 0  7295 97350 0  7591 79342 0  18067 87524 0  18431 160658 0  19109 51620 0  19137 70118 0  21199 90038 0
60 8  6727 78657 0  6988 78889 0  7890 115942 0  8699 98406 0  11402 155085 0  17509 87096 0  17966 50790 0  18850 88111 0
61 8  1641 56248 0  2348 147796 0  2593 20403 0  4464 3503 0  5920 132516 0  7672 79406 0  7986 61226 0  9572 99131 0
62 8  3860 148968 0  5064 113809 0  5547 59333 0  14342 102818 0  17240 105156 0  18193 87614 0  19416 70317 0  19911 70748 0
63 8  3195 2591 0  7908 115955 0  10470 63203 0  10752 118264 0  10881 8420 0  11872 27909 0  19461 70343 0  20005 143544 0
64 8  533 37334 0  5215 77320 0  9504 7288 0  10743 118263 0  10956 63614 0  11707 137136 0  13178 47132 0  20226 71013 0
65 8  9990 7624 0  10411 136139 0  11706 119056 0  15700 85652 0  19108 33798 0  19334 51804 0  20469 71206 0  21459 71934 0
66 8  2501 147919 0  7365 60802 0  9700 135562 0  11634 119001 0  11808 9168 0  17058 68625 0  20847 71474 0  20854 35126 0
67 8  3615 112614 0  11997 9280 0  12223 28198 0  15846 122236 0  20140 143640 0  21035 53157 0  21043 35284 0  22281 72664 0
68 8  1915 129210 0  3016 20703 0  3426 112465 0  7720 133973 0  15243 121844 0  16956 13264 0  20050 143562 0  22193 72536 0
69 8  4748 95397 0  7495 133733 0  9493 135428 0  11783 46033 0  13822 138764 0  14667 121368 0  19613 51971 0  21969 72368 0
70 8  3201 112325 0  11554 137041 0  11864 46097 0  12178 28155 0  13421 47347 0  13830 120715 0  19854 15707 0  21567 72048 0
71 8  647 146434 0  1293 110640 0  5952 59689 0  7506 5903 0  7522 133769 0  11832 119147 0  21018 71596 0  22746 91512 0
72 8  1424 38004 0  9717 117533 0  10421 154246 0  12134 46312 0  15338 48749 0  16350 122592 0  21474 16901 0  22425 72765 0
73 8  1265 92598 0  6723 5300 0  9777 62622 0  9969 117728 0  12287 46425 0  15658 140110 0  16818 122939 0  22449 72803 0
74 8  578 37380 0  1463 92754 0  8602 134672 0  10239 117944 0  12314 46465 0  16662 68273 0  19502 161331 0  22585 72914 0
75 8  235 18515 0  6586 133030 0  8945 152945 0  10905 118406 0  12422 46557 0  13173 120253 0  19705 88879 0  19824 125199 0
76 8  139 73349 0  2400 111530 0  6034 78076 0  8488 25136 0  12687 119854 0  13052 47030 0  14268 66458 0  15676 140125 0
77 8  6676 133099 0  8993 43963 0  11166 118591 0  12881 46943 0  13461 120442 0  13827 66011 0  18055 32924 0  18917 160986 0
78 8  5509 22602 0  6294 59938 0  6955 133356 0  10695 63408 0  11472 118840 0  13043 47027 0  18001 32822 0  18665 160802 0
79 8  2515 75204 0  4351 76641 0  6499 23389 0  8641 25233 0  13344 120392 0  14159 47912 0  16919 159335 0  21329 162812 0
80 8  5926 77987 0  10019 44761 0  13467 65729 0  13749 120654 0  14726 48271 0  16954 141057 0  21351 71881 0  22235 109088 0
81 8  803 37548 0  1274 92599 0  4288 76591 0  10820 45274 0  13776 120673 0  15005 48491 0  22005 145271 0  22577 72912 0
82 8  5478 114098 0  11246 100271 0  11360 45713 0  12571 137853 0  12700 28576 0  14118 120947 0  15932 49250 0  21016 35262 0
83 8  6378 114745 0  6889 78775 0  7920 6208 0  14325 121084 0  17669 50577 0  20464 143893 0  22094 17498 0  22823 36933 0
84 8  2811 57098 0  4414 76675 0  4429 21792 0  15405 121945 0  16625 49735 0  17186 105109 0  17251 141287 0  19585 34152 0
85 8  1568 38105 0  3335 94311 0  6819 115104 0  7879 79641 0  11078 154829 0  14832 11580 0  15684 122130 0  17957 50784 0
86 8  2847 57133 0  4680 3671 0  5125 77249 0  10320 118011 0  10623 63361 0  16584 122746 0  18686 51324 0  20977 144327 0
87 8  4945 77101 0  5961 59698 0  8535 61691 0  9031 80590 0  15504 122025 0  16125 122421 0  18232 141926 0  19136 51644 0
88 8  3033 2417 0  6501 60083 0  12404 46548 0  12580 137855 0  15729 122149 0  18345 69608 0  19190 51682 0  21853 35972 0
89 8  4149 3327 0  5179 77310 0  9957 62740 0  15047 157846 0  16908 123008 0  18121 87568 0  18326 51054 0  20063 52257 0
90 8  110 37101 0  4193 149228 0  7542 5930 0  12351 64850 0  15180 121761 0  17187 123201 0  19659 70536 0  20459 52578 0
91 8  2537 147950 0  6772 78695 0  8712 6743 0  12981 65303 0  17151 123181 0  17295 123259 0  17722 32597 0  20990 53123 0
92 8  5599 22668 0  6654 60201 0  9315 7166 0  10736 154533 0  13773 65951 0  16146 12603 0  17844 123649 0  21818 53928 0
93 8  12294 9494 0  16779 68361 0  17029 31997 0  17216 159621 0  17462 50328 0  18292 87682 0  18834 124396 0  22392 54403 0
94 8  455 92050 0  1044 918 0  2769 111924 0  15543 12121 0  17810 160126 0  18346 87749 0  19500 124990 0  22280 54319 0
95 8  2372 93516 0  2922 112090 0  10336 81603 0  16920 13230 0  17596 32527 0  18832 88100 0  19743 125147 0  22661 145750 0
96 8  2516 93634 0  7133 97198 0  11122 136692 0  14557 84826 0  15796 31065 0  18099 14154 0  20852 162420 0  21471 126426 0
97 8  3299 94275 0  15434 158170 0  15467 103640 0  16912 31927 0  17410 87003 0  18675 14711 0  21419 162864 0  21948 126907 0
98 8  989 146669 0  2514 56914 0  6370 132842 0  7096 78958 0  19084 88317 0  19499 106986 0  20214 16004 0  22292 127244 0
99 8  4676 95337 0  5121 4037 0  5889 59616 0  8771 98465 0  16666 140852 0  18750 69808 0  19669 88851 0  20420 162095 0
100 8  401 92000 0  1705 74584 0  6452 151079 0  8006 97875 0  8292 61446 0  10453 81725 0  12391 137713 0  19741 88895 0
101 8  273 55171 0  3277 20891 0  8460 6596 0  8897 98598 0  11793 64385 0  12635 155988 0  19759 88926 0  20644 144064 0
102 8  1395 1157 0  1866 56417 0  3286 20901 0  8689 80344 0  15978 67816 0  17764 141566 0  19756 34296 0  21010 89874 0
103 8  3403 20993 0  3938 94827 0  6627 60175 0  10746 8298 0  10933 136593 0  15331 85445 0  21712 90421 0  22317 145516 0
104 8  3655 21198 0  4352 95126 0  7176 60606 0  10940 100065 0  11641 82655 0  16928 159339 0  22010 90651 0  22199 36318 0
105 8  1686 56280 0  3700 21239 0  4478 95218 0  4490 149547 0  8348 98103 0  8521 134618 0  11406 64051 0  16084 31299 0
106 8  1929 56503 0  2797 129902 0  3790 21306 0  9698 99209 0  13424 102071 0  16637 104599 0  17865 13957 0  22029 145274 0
107 8  372 55234 0  3804 112811 0  3817 21321 0  13502 47405 0  14387 102862 0  17701 141537 0  19166 106732 0  20773 35083 0
108 8  2926 20649 0  3718 21256 0  8224 134361 0  8330 98096 0  14745 66837 0  14808 66866 0  15094 30500 0  16234 140472 0
109 8  3704 94622 0  3826 21337 0  5649 114207 0  14383 29938 0  15890 104030 0  16045 140314 0  16718 104691 0  18640 33373 0
110 8  3556 21104 0  3871 21346 0  6266 41845 0  10796 99982 0  13327 138461 0  15953 104071 0  17400 68879 0  21350 53455 0
111 8  1588 74501 0  3898 21361 0  3979 21431 0  7103 42493 0  16331 104402 0  17092 32076 0  22165 145381 0  22200 54260 0
112 8  193 73388 0  3934 21385 0  7220 42584 0  10679 99887 0  12040 137409 0  12657 65046 0  17042 104898 0  17238 68785 0
113 8  3879 3084 0  4024 21490 0  12755 46852 0  15555 67483 0  17533 32470 0  17631 13801 0  19124 161094 0  20570 107792 0
114 8  448 128117 0  4033 21493 0  9848 44648 0  13143 65416 0  16903 31924 0  17864 160185 0  19710 15621 0  20687 107913 0
115 8  3485 39675 0  3943 21394 0  7455 60846 0  11412 8821 0  13933 29622 0  15290 158041 0  19283 106823 0  19769 107220 0
116 8  913 73951 0  4006 21453 0  7991 152277 0  9425 44314 0  10696 81969 0  14193 11059 0  19614 70499 0  20138 107470 0
117 8  4042 21501 0  4322 40373 0  4598 149662 0  8960 98670 0  9742 81128 0  18255 69525 0  21047 108160 0  22702 18090 0
118 8  4069 21511 0  5032 22246 0  5506 132085 0  6784 133219 0  9409 80842 0  17511 123397 0  17855 160174 0  18957 69960 0
119 8  736 128327 0  4078 21512 0  6280 132768 0  6488 151099 0  9952 135767 0  10057 81373 0  14815 30281 0  21992 54056 0
120 8  516 55362 0  991 19150 0  4275 3386 0  8509 80228 0  10073 44798 0  10876 82069 0  13857 120754 0  20887 144229 0
121 8  2431 20310 0  3750 112757 0  4195 21595 0  10698 118240 0  10964 45379 0  12865 83510 0  17422 141354 0  20541 71258 0
122 8  775 18933 0  4294 21645 0  9879 117670 0  10856 45301 0  11173 82303 0  12256 137622 0  16850 49866 0  19218 70189 0
123 8  3456 2763 0  5045 95603 0  7944 115984 0  10388 44980 0  11306 45652 0  15009 121668 0  19801 34335 0  21499 144818 0
124 8  366 109906 0  4315 76603 0  9903 62715 0  10127 44837 0  11477 45789 0  12107 46294 0  14451 121210 0  17476 141390 0
125 8  375 109907 0  4343 95122 0  5085 3995 0  6866 151386 0  9378 7205 0  11648 45883 0  12071 46277 0  17907 123695 0
126 8  1014 110390 0  5414 95861 0  9115 135134 0  13408 138505 0  14771 48329 0  18963 14937 0  19455 124972 0  22790 18143 0
127 8  1689 110992 0  1894 74702 0  2559 56927 0  12167 155723 0  12578 101463 0  16288 140547 0  19719 15623 0  20995 144331 0
128 8  60 109687 0  7882 134065 0  12479 101361 0  13602 65840 0  14243 102747 0  17598 69038 0  20023 143554 0  20160 15968 0
129 8  726 110222 0  5869 22901 0  8780 98467 0  9697 81058 0  16977 68508 0  17989 141747 0  20516 107778 0  21609 17015 0
